PLAYER,AGE,TM,MAIN POS,OTHER POS,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS,WERTH Roto Value,Pos-Adjusted WERTH Value,ADP
Shohei Ohtani,31,LAD,DH,SP,679.40195,576,122.9582714,161.571744,83.72090643,26.66142794,5.177924976,46.01148465,114.8195817,24.69350255,5.48479078,95.00743413,168.9774025,0.2805065,0.384211815,0.584415757,0.968627572,14.11557221,16.92478478,2
Aaron Judge,33,NYY,OF,,634.3999,510,100.1262919,145.302417,76.88756484,23.80756142,1.257638583,43.34965216,107.974206,8.607097648,2.598777258,113.6790156,160.4178055,0.2849067,0.418988284,0.591518063,1.010506347,9.74101667,12.81893768,2
Bobby Witt Jr.,25,KC,SS,,661.98145,601,93.53829622,173.5449403,101.9566415,37.38757659,6.615491628,27.58523061,91.54576228,32.99727502,9.142588526,49.29070058,115.7182581,0.2887603,0.348193071,0.510680852,0.858873923,9.290953536,12.50094839,3
Juan Soto,27,NYM,OF,,669.43785,532,102.0051057,144.3564976,82.95518614,23.82354307,1.262557641,36.31521074,97.0849293,23.29829265,4.752696305,124.696343,120.8856219,0.2713468,0.414535506,0.525659376,0.940194883,8.979011979,12.05693299,3
Julio Rodriguez,25,SEA,OF,,664.69075,607,87.759373,165.7615024,104.6178866,28.50595725,2.512083087,30.12557546,96.02728153,26.26000217,6.229733851,47.37993472,146.8588847,0.2730832,0.329888097,0.477213101,0.807101198,7.590378636,10.66829965,9
Jose Ramirez,33,CLE,3B,,648.5914,570,86.25647472,156.596214,93.51944199,32.59256429,2.703239805,27.78096792,90.0077687,31.60353704,6.447664129,63.8378196,76.323168,0.2747302,0.356884926,0.48761081,0.844495736,7.321433669,10.46395678,5
Corbin Carroll,25,ARI,OF,,632.7668,547,99.1423556,141.9696928,75.12877924,28.90530444,10.91146048,27.02414864,88.02924878,33.67145754,6.198593444,68.45332713,133.7814228,0.2595424,0.353480406,0.500494267,0.853974673,7.234366025,10.31228704,11
Vladimir Guerrero Jr.,26,TOR,1B,,664.5656,577,87.94277822,169.7915974,105.6108898,32.15525659,0.797880432,31.22757056,100.272396,4.907186745,2.252676724,75.84071365,95.8210999,0.2942662,0.380955267,0.515121883,0.89607715,7.188886689,10.39523834,19
Elly De La Cruz,24,CIN,SS,,653.3434,584,91.36431989,152.8087392,92.46256533,30.43260626,6.163023607,23.750544,84.51690015,40.1768736,10.14575123,65.22595386,173.9882294,0.2616588,0.333822282,0.456881892,0.790704174,6.8296676,10.03966245,8
Ronald Acuna Jr.,28,ATL,OF,,608.8535,516,96.09236792,146.3525124,93.00077512,24.15786662,1.974851677,27.21901898,75.06890962,22.98221307,4.802011769,86.00005405,126.533744,0.2836289,0.387009963,0.496351045,0.883361008,6.484856005,9.562777019,8
Fernando Tatis Jr.,27,SD,OF,,644.37655,562,92.25719615,152.1183384,93.92024358,27.22721128,2.28193819,28.68894535,84.39088114,24.53979839,5.436861223,73.34837997,128.7086704,0.2706732,0.358006829,0.480384808,0.838391637,6.470613822,9.548534835,13
Gunnar Henderson,24,BAL,SS,,661.76475,586,92.82149571,159.8466774,94.47510953,33.76826239,4.17753059,27.4257749,84.91775467,23.12578731,4.881905042,67.92746716,139.8024324,0.2727759,0.350137391,0.485063696,0.835201087,6.451028925,9.661023777,16
Junior Caminero,22,TB,3B,,629.50425,570,77.75115606,154.288227,91.36032277,25.14565331,0.95084408,36.83140684,105.9022752,5.872656585,1.690666306,44.73688424,120.6068145,0.2706811,0.333201832,0.511982086,0.845183918,5.886891244,9.029414359,16
Kyle Tucker,29,LAD,OF,,607.81725,520,85.78508372,140.059296,81.19465685,27.84307874,2.680981435,28.34057897,87.01767964,20.76663658,3.410607695,82.2690818,86.57537076,0.2693448,0.368463793,0.496703989,0.865167783,5.478378596,8.55629961,13
Jackson Chourio,21,MIL,OF,,631.84815,581,82.39628471,157.5612157,95.28174973,34.21514298,3.785687443,24.27863555,83.10238336,23.04421038,6.962893032,39.48766295,128.0500916,0.2711897,0.324081005,0.468474424,0.792555428,4.926720418,8.004641432,21
Pete Alonso,31,BAL,1B,,664.2515,595,80.73202853,153.487271,87.15758075,28.16548976,1.204758528,36.95944196,106.2399094,1.714098148,1.073662444,59.49651334,147.0050404,0.2579618,0.329227518,0.495698494,0.824926012,4.843698794,8.050050446,25
Francisco Lindor,32,NYM,SS,,639.5334,569,91.26625065,148.0369576,91.84187742,28.22260779,1.744487993,26.2279844,78.79225888,23.49502443,4.474617947,57.94369804,116.8172567,0.2601704,0.336063137,0.454187161,0.790250298,4.83711142,8.047106272,20
Brent Rooker,31,ATH,OF,,641.925,570,81.7873382,150.096219,84.84786771,31.09506309,1.865435712,32.28785248,98.69708362,6.286234856,1.66867311,63.09613528,158.5098383,0.2633267,0.339898956,0.494360896,0.834259853,4.631064092,7.708985106,44
Kyle Schwarber,32,PHI,DH,,665.7157,550,92.27726826,125.90325,63.65411496,19.96903607,1.045222285,41.23487668,101.5020651,6.765667325,2.205274552,98.72874974,189.1101855,0.228915,0.356749517,0.493940656,0.850690172,4.515266137,7.31623985,20
Pete Crow-Armstrong,23,CHC,OF,,607.8863,566,81.48675219,142.5423456,84.02343896,29.15888452,5.395234595,23.96478752,82.53799873,33.06031247,8.038855884,34.48650888,144.5834098,0.2518416,0.297615316,0.449445339,0.747060655,4.43868504,7.516606053,29
Trea Turner,32,PHI,SS,,622.03075,569,83.21264734,160.6398524,110.1021799,28.49932569,3.950075911,18.08827092,68.9998615,26.9591938,4.771260902,42.17579083,114.1443283,0.2823196,0.337882211,0.441659302,0.779541512,4.373268015,7.583262866,28
Nick Kurtz,22,ATH,1B,,579.42765,503,84.49504317,130.466128,67.57347979,25.8903495,1.596843517,35.4054552,89.66084917,3.4805468,1.268062005,69.32067119,167.3882305,0.259376,0.351026781,0.528362883,0.879389664,3.973170447,7.179522099,18
Zach Neto,25,LAA,SS,,624.8643,568,81.04406393,143.6804848,85.29347943,30.09700054,1.427168416,26.86283642,75.18593899,26.41939245,8.40782844,44.05425502,150.0962697,0.2529586,0.315385006,0.452852696,0.768237702,3.649415396,6.859410248,34
Freddie Freeman,36,LAD,1B,,628.18035,533,80.26186901,149.6171508,92.63695019,32.9581132,1.955491943,22.06659546,87.29424187,7.293140991,1.977514809,66.99640458,117.285579,0.2807076,0.384026522,0.474082616,0.858109138,3.558627596,6.764979248,51
Mookie Betts,33,LAD,SS,,624.2753,547,84.96919232,149.1326578,93.94168438,29.91279337,2.567001317,22.71117873,83.31595967,8.526212323,2.285008649,70.82396811,75.73878223,0.2726374,0.357093454,0.461266892,0.818360346,3.38645447,6.596449321,46
Cal Raleigh,29,SEA,C,,626.0468,518,79.60758359,119.782579,59.4088631,21.53899869,0.429675422,38.40504178,99.81348297,7.887713505,2.505174965,76.85142483,165.4510973,0.2312405,0.358359051,0.496903579,0.85526263,3.350923464,7.187811649,15
James Wood,23,WSN,OF,,624.8207,539,79.95478082,140.4771445,81.24643501,30.52650452,2.487574977,26.21662999,81.23708413,15.64312687,5.748703102,76.78735699,185.2262675,0.2606255,0.356067868,0.472409441,0.828477309,3.237668053,6.315589066,32
Bryce Harper,33,PHI,1B,,606.35915,526,74.63768533,143.8908242,84.89848164,32.00923509,0.551663833,26.43144364,83.81825557,9.73953103,2.905766147,72.2049212,128.9884375,0.2735567,0.363483853,0.487258019,0.850741871,3.212215697,6.418567349,37
Ketel Marte,32,ARI,2B,,602.0847,526,79.47300503,144.8868052,86.99753814,29.2340947,2.639611052,26.0155613,79.64763808,5.183155796,1.499070569,66.1813453,98.57749956,0.2754502,0.360840213,0.489442597,0.85028281,2.894603182,6.116677892,27
Yordan Alvarez,28,HOU,OF,,527.1365,455,68.09383052,134.805944,78.746714,27.3170711,1.107702023,27.63445688,77.94367697,2.934929273,1.206538123,64.18242401,85.73295531,0.2962768,0.386536065,0.543388549,0.929924614,2.782862198,5.860783211,32
Matt Olson,31,ATL,1B,,668.9835,577,81.98467092,145.7175418,83.05872542,30.73800996,1.350910129,30.5698963,93.54742338,1.218409905,0.086872236,80.15794373,156.9982072,0.2525434,0.348854017,0.469440314,0.81829433,2.754403807,5.960755459,36
Riley Greene,25,DET,OF,,626.2544,551,78.35798275,144.0353672,87.53326344,25.97915493,2.720545701,27.80240312,91.30060187,3.228387179,1.706180283,55.83448152,166.1701834,0.2614072,0.34388229,0.469805486,0.813687776,2.752425407,5.830346421,60
Rafael Devers,29,SF,1B,,664.31545,565,84.80350569,142.3476255,82.07958722,28.58400564,1.291537134,30.3924955,89.14338618,1.982882612,0.949103245,86.37074999,160.8014354,0.2519427,0.357679678,0.468481756,0.826161434,2.688978606,5.895330258,39
Josh Naylor,28,SEA,1B,,600.0071,528,66.61491906,140.648376,91.4712524,26.07774955,0.456499529,22.64287452,85.91645503,18.21691393,3.265515675,50.83926848,90.01563785,0.2663795,0.348236827,0.446151038,0.794387866,2.647593572,5.853945224,56
CJ Abrams,25,WSN,SS,,623.8474,580,80.74247131,147.204,92.57079979,30.31200737,4.712452902,19.60873994,66.39154181,30.41515107,5.85590841,37.70606115,120.146567,0.2538,0.299805912,0.423736436,0.723542349,2.547714874,5.757709726,66
Jazz Chisholm Jr.,28,NYY,3B,2B,569.18485,506,71.83922474,120.8013268,74.62645585,17.45546765,1.930446563,26.78895674,77.48065266,29.95307016,7.51220299,56.60430096,148.3788854,0.2387378,0.316691052,0.439692802,0.756383854,2.505542039,6.148065154,22
Manny Machado,33,SD,3B,,624.3675,561,72.72110739,148.0876749,95.17635857,26.61356299,0.639801358,25.65795199,86.16981743,8.81836475,2.448472797,52.96711951,121.6194787,0.2639709,0.332904511,0.450899637,0.783804148,2.453290952,5.595814067,30
Cody Bellinger,30,NYY,OF,,602.6235,544,75.80168226,142.4496096,91.39380829,24.80045418,2.368981306,23.88636582,85.03131939,11.00765986,2.845098887,50.607163,88.07402922,0.2618559,0.327726355,0.447880742,0.775607097,2.446832554,5.524753568,55
Wyatt Langford,24,TEX,OF,,610.7957,532,77.690404,135.9895208,81.66792928,28.7433675,2.135564758,23.44265926,73.60824257,21.2093678,5.726293897,70.70395663,137.6859126,0.2556194,0.345156724,0.449872172,0.795028897,2.414138292,5.492059306,47
