PLAYER,AGE,TM,MAIN POS,OTHER POS,W,L,IP,HA,BB,K,ER,SV,ERA,WHIP,K/9,QS,GS,G,HRA,WERTH Roto Value,Pos-Adjusted WERTH Value,ADP
Tarik Skubal,29,DET,SP,,14.18531465,7.853990243,193,147.8810991,38.79487444,229.2152776,57.75966578,0,2.693455917,0.967233023,10.68879533,23,31.4,31,19.14775504,12.10099061,14.4917506,5
Paul Skenes,23,PIT,SP,,13.75499893,8.300453708,186,146.8315021,47.22584093,222.716592,58.03419765,0,2.808106338,1.043319048,10.77660929,21,32,32,16.39005124,9.607288809,11.9980488,9
Garrett Crochet,26,BOS,SP,,13.73452765,8.029700721,191,153.0689365,48.78156233,226.8732656,63.2491409,0,2.980326011,1.056808895,10.6903633,21,31.4,31,19.6913116,8.991990457,11.38275045,11
Bryan Woo,26,SEA,SP,,12.74066878,8.707970946,183,152.2735432,38.59211637,185.2862612,67.03121369,0,3.296617067,1.042981746,9.112439073,19,30.5,31,23.639261,6.523470246,8.91423024,36
Cristopher Sanchez,29,PHI,SP,,13.28977578,7.962466342,191,169.9270057,46.51513318,184.7025245,67.60257774,0,3.185461778,1.133204916,8.703260319,21,31.1,31,16.74229062,5.708699017,8.099459012,28
Logan Gilbert,28,SEA,SP,,11.05647883,7.849048812,163,133.3057602,38.53483732,185.8106432,59.18172028,0,3.267702347,1.054236794,10.25948337,17,29.032,29,20.59611807,5.209237844,7.599997838,38
Logan Webb,29,SF,SP,,13.12277148,9.605388582,199,185.4262836,45.39842054,188.3380261,72.1099686,0,3.261254861,1.159923136,8.517800174,21,32,32,16.1799136,5.137775285,7.528535279,47
Chris Sale,36,ATL,SP,,10.78322416,7.223454246,154,125.5277162,41.35615326,195.472228,55.24121321,0,3.22838259,1.08366149,11.42370164,16,25.808,25,16.71129567,4.691077264,7.081837258,39
Max Fried,32,NYY,SP,,13.3557374,8.13788443,183,158.2207133,53.25818953,172.9748921,66.8772415,0,3.289044664,1.15562242,8.506961908,19,30.056,30,17.40651456,4.449413526,6.84017352,45
Yoshinobu Yamamoto,27,LAD,SP,,12.25115985,6.543206494,160,131.296788,47.27065676,176.0891976,58.16270444,0,3.271652125,1.11604653,9.905017367,17,26.584,27,16.65077232,4.277716871,6.668476866,24
Jacob deGrom,37,TEX,SP,,10.56980625,8.167945721,161,131.3916944,38.93580011,177.531335,62.13827045,0,3.473567913,1.057934749,9.924111892,16,28.132,28,22.06561818,4.0712638,6.462023794,48
George Kirby,28,SEA,SP,,11.04084607,8.686696833,166,148.5060619,32.15157769,163.2295685,63.42903655,0,3.438923669,1.088299034,8.849795882,16,29.756,29,19.99779067,3.68632264,6.077082634,67
Zack Wheeler,35,PHI,SP,,10.09672864,6.307121,144,116.0808914,37.97616383,160.9224591,51.76145566,0,3.235090979,1.069840661,10.05765369,15,24.484,24,16.63272507,3.578192809,5.968952803,132
Hunter Brown,27,HOU,SP,,12.15892609,9.116378312,177,149.456484,58.11888231,193.314308,67.33950566,0,3.424042661,1.172742183,9.829541086,18,30.056,31,19.32147764,3.577062576,5.96782257,33
Cole Ragans,28,KC,SP,,10.35610384,7.061178192,150,119.6906659,51.68211026,194.70599,55.61111484,0,3.33666689,1.142485175,11.6823594,15,26.932,25,16.40624558,3.207318948,5.598078942,53
Joe Ryan,29,MIN,SP,,10.70355481,9.339069254,166,142.5718489,39.38210022,186.3079551,68.95879516,0,3.738729858,1.096108128,10.10103371,16,28.732,29,24.42640274,2.929386289,5.320146283,64
Jesus Luzardo,28,PHI,SP,,12.07033566,8.388481326,173,148.0064484,54.04896492,194.5020465,69.62627639,0,3.622176229,1.167950366,10.11860358,17,30.056,30,21.77560903,2.871186945,5.261946939,76
Framber Valdez,32,DET,SP,,12.69725828,9.266101189,187,168.1242088,62.29380362,174.1329201,72.56274965,0,3.49232485,1.232181885,8.380728773,19,29.756,30,15.79777328,2.182186712,4.572946707,79
Mason Miller,27,SD,RP,,3.986427949,2.115711438,65,40.24436281,24.48622115,100.1311824,17.33418644,31.3601,2.400118123,0.995855138,13.86431757,0,0,63,5.764267081,2.155389417,5.713103946,44
Dylan Cease,30,TOR,SP,,11.11452053,9.326277385,171,141.0856812,64.93342996,203.6778284,68.73352568,0,3.617553983,1.204790124,10.7198857,16,30.656,31,20.89136707,2.13458942,4.525349415,70
Sonny Gray,36,BOS,SP,,11.28885611,9.132646883,170,156.3020788,44.54127655,178.083391,70.39175811,0,3.726622488,1.181431502,9.427944231,16,29.756,30,20.69120445,1.635627427,4.026387421,103
Nathan Eovaldi,36,TEX,SP,,10.13472903,7.436750076,152,134.3091941,37.78994202,153.7705713,61.34823338,0,3.632461187,1.132231159,9.104836459,15,25.732,25,18.12051703,1.541232594,3.931992588,140
Nick Pivetta,33,SD,SP,,10.35172603,9.20857005,168,143.8060833,49.67676874,180.2881536,72.65924848,0,3.89245974,1.151683643,9.658293945,16,28.132,29,25.89545908,1.286022428,3.676782422,86
Freddy Peralta,29,NYM,SP,,10.97804099,8.372628961,162,133.8623335,60.29854674,181.1192777,67.43181036,0,3.746211687,1.198523952,10.0621821,15,29.332,30,21.60732008,1.158547635,3.54930763,58
Edwin Diaz,31,LAD,RP,,4.530028746,1.991053832,63,46.42506353,21.83982808,88.76580154,21.30851286,37.4279,3.044073265,1.083569708,12.68082879,0,0,63,6.614041717,1.151416308,4.709130838,45
Cade Smith,26,CLE,RP,,4.614450076,2.721425158,70,54.26194757,21.59594372,89.07717331,22.16187292,29.3937,2.849383661,1.083684161,11.45277943,0,0,70,6.20673726,0.974125069,4.531839599,60
Luis Castillo,33,SEA,SP,,11.08091655,9.627123244,175,157.0196041,49.38855504,162.8432964,75.24104686,0,3.869539553,1.179475195,8.3747981,16,30.056,31,24.03712349,0.832306341,3.223066336,139
Jhoan Duran,28,PHI,RP,,4.917318864,2.596405464,68,55.22008882,20.76977834,74.8676813,21.31021297,31.861,2.820469363,1.117498046,9.908957819,0,0,69,4.851363305,0.724412247,4.282126777,58
Ranger Suarez,30,BOS,SP,,11.06554439,8.526045041,165,157.6922032,44.56595804,149.8620684,68.83647343,0,3.754716733,1.225807038,8.174294638,16,28.432,28,17.41966946,0.649313585,3.377356509,165
Brandon Woodruff,33,MIL,SP,,8.671819324,7.104100121,135,115.5732225,35.59287732,150.1084111,56.40316784,0,3.760211189,1.119748888,10.00722741,12,25.508,23,19.71552253,0.475944463,2.866704457,112
